Statement Period,Gross Revenue,Fees,Net Revenue,Expenses,Physical Reserves Held,Physical Reserves Released,Mechanicals Deducted for US Sales,Adjustments,Total Payable Balance
November 2022,,,84797.86,26145.83,0.0,0.0,0.0,0.0,58652.03
December 2022,,,79507.14,23.35,0.0,0.0,0.0,0.0,79483.79
January 2023,,,82622.47,23.35,0.0,0.0,0.0,0.0,82599.12
February 2023,,,80750.24,23.83,0.0,0.0,0.0,0.0,80726.41
March 2023,,,75610.79,0.0,0.0,0.0,0.0,0.0,75610.79
April 2023,,,81209.85,0.01,0.0,0.0,0.0,0.0,81209.84
May 2023,,,75157.52,0.01,0.0,0.0,0.0,0.0,75157.51
June 2023,,,79517.43,0.0,0.0,0.0,0.0,0.0,79517.43
July 2023,82045.95,-11205.27,70840.69,0.0,0.0,0.0,0.0,0.0,70840.69
August 2023,83484.21,-11373.11,72111.11,0.0,0.0,0.0,0.0,0.0,72111.11
September 2023,83267.6,-11390.04,71877.57,0.0,0.0,0.0,0.0,0.0,71877.57
October 2023,86404.79,-11852.24,74552.57,0.0,0.0,0.0,0.0,0.0,74552.57
November 2023,100507.96,-13802.62,86705.34,-20.27,0.0,0.0,-20.27,0.0,86685.07
December 2023,87317.75,-12011.17,75306.59,-273.49,0.0,0.0,-273.49,0.0,75033.1
January 2024,168706.67,-36765.39,131941.29,-54.0,-16587.72,0.0,0.0,0.0,115299.57
February 2024,82585.28,-11437.22,71148.06,-74.7,-102.97,921.55,0.0,0.0,71891.94
March 2024,83521.23,-11745.0,71776.23,0.0,-115.18,927.28,0.0,0.0,72588.33
April 2024,80851.85,-11166.06,69685.8,-52.77,-23.78,933.68,-39.27,0.0,70542.93
May 2024,76654.1,-10645.19,66008.93,0.0,-170.28,935.01,0.0,0.0,66773.66
June 2024,76978.33,-10803.94,66174.4,-7.2,-203.69,944.48,0.0,0.0,66907.99
July 2024,78522.53,-11341.06,67181.48,-122.57,-700.92,955.8,-122.57,0.0,67313.79
August 2024,74877.66,-10305.02,64572.64,-11.7,-99.77,994.75,0.0,0.0,65455.92
September 2024,73793.54,-10141.71,63651.84,-424.6,0.0,1000.3,0.0,0.0,64227.54
October 2024,82179.91,-12008.32,70171.59,0.0,-884.41,1000.3,0.0,128119.15,198406.63
November 2024,94507.52,-7801.92,86705.61,-52.5,-634.54,1049.44,0.0,0.0,87068.01
December 2024,80560.91,-7240.7,73320.21,-12009.53,-1065.45,1084.7,0.0,0.0,61329.93
January 2025,76115.16,-6110.03,70005.14,-283.51,-356.79,1143.9,0.0,0.0,70508.74
February 2025,70253.5,-5437.81,64815.7,-145.89,-150.04,1163.73,0.0,0.0,65683.5
March 2025,75186.37,-5954.71,69231.68,-103.86,-280.64,1172.07,-16.02,0.0,70003.23
April 2025,75114.94,-5871.27,69243.68,-50.1,-211.24,1187.67,-12.01,0.0,70158.0
May 2025,75293.7,-5273.66,70020.04,-48.01,-108.79,1147.34,-15.15,0.0,71010.58
June 2025,81966.52,-5320.3,76646.22,-48.01,-10.51,1184.83,-0.84,0.0,77771.69
July 2025,78696.53,-5096.33,73600.2,-145.19,-34.8,1189.63,-0.41,0.0,74609.43
August 2025,75215.17,-4914.77,70299.8,-334.62,-3.88,1240.28,-0.37,0.0,71201.21
September 2025,76618.34,-4775.29,71843.05,-317.02,-11.45,1262.73,-0.32,0.0,72776.99
October 2025,93396.05,-7202.78,86193.29,-532.89,-176.06,389.63,-64.56,0.0,85809.41
November 2025,102909.1,-7779.63,95129.48,-56.75,-54.62,398.07,-33.63,0.0,95382.55
