Month,Digital_Net,Physical_Net,Total_Net
2022-11,84797.85,0.0,84797.85
2022-12,79507.13,0.0,79507.13
2023-01,82622.45,0.0,82622.45
2023-02,80750.23,0.0,80750.23
2023-03,75610.77,0.0,75610.77
2023-04,81209.83,0.0,81209.83
2023-05,93357.84,0.0,93357.84
2023-06,79517.42,0.0,79517.42
2023-07,70840.68,0.0,70840.68
2023-08,72111.1,0.0,72111.1
2023-09,71877.56,0.0,71877.56
2023-10,74552.56,0.0,74552.56
2023-11,86705.33,0.0,86705.33
2023-12,75306.58,0.0,75306.58
2024-01,73924.69,58016.59,131941.28
2024-02,70787.67,360.39,71148.06
2024-03,71373.1,403.12,71776.22
2024-04,69602.58,83.21,69685.79
2024-05,65412.94,595.97,66008.91
2024-06,65461.49,712.91,66174.4
2024-07,64728.28,2453.19,67181.47
2024-08,64223.47,349.16,64572.63
2024-09,63651.83,0.0,63651.83
2024-10,67076.16,3095.43,70171.59
2024-11,84484.72,2220.88,86705.59
2024-12,69591.13,3729.07,73320.2
2025-01,68756.38,1248.74,70005.13
2025-02,64290.58,525.11,64815.69
2025-03,68249.44,982.23,69231.67
2025-04,68504.34,739.33,69243.67
2025-05,71309.09,461.03,71770.11
2025-06,77263.52,2832.0,80095.52
2025-07,75581.82,2021.81,77603.63
2025-08,0.0,0.0,0.0
2025-09,53282.24,418.87,53701.1
2025-10,85577.09,616.18,86193.28
2025-11,94938.32,191.14,95129.47
