ISRC,Track,Total_Net,Mean_Monthly,Std_Dev,CV,Pct_Contribution,Cumulative_Pct
USHM21643447,Lover Is a Day,235925.5597,19660.463308333336,7489.226705587136,0.38092829187869304,29.191635812476907,29.191635812476907
USDY41758677,Lo Que Siento,193976.6057,16164.717141666666,6094.880580673396,0.37704839047031924,24.0011910406621,53.19282685313901
USHM21643449,Amor de Siempre,101359.5159,8446.626325,2998.98804668532,0.35505158287978605,12.541456203576242,65.73428305671526
GBKPL1806792,Dontmakemefallinlove,41615.35,3467.945833333333,1176.1397880175416,0.33914595110242973,5.149167148118716,70.88345020483398
GBKPL1806793,Summer Time High Time,31828.97,2652.414166666667,902.8892858864342,0.3404028289522787,3.9382748596961505,74.82172506453013
USCGH1734816,We Had to End It,31021.295000000002,2585.107916666667,1351.310065441224,0.5227286863844558,3.8383392932199154,78.66006435775004
GBKPL1816968,Drown,29295.5499,2441.295825,824.5131923148924,0.33773587939302374,3.624808709554348,82.28487306730439
NO-ISRC,Unknown,25339.281700000003,2111.6068083333334,2617.752837172237,1.2396971002562729,3.1352901486246245,85.42016321592901
USHM21643448,Cupid's Quiver,17929.1101,1494.0925083333334,480.24991822155465,0.32143251876503653,2.2184118293351727,87.63857504526418
USCGH1734814,One and Only,16917.880100000002,1409.823341666667,463.1504504088482,0.3285166564637243,2.0932899140997585,89.73186495936393
USCGH1734815,Winter's Ballad,14564.583399999998,1213.7152833333332,423.2497051065908,0.3487223988349087,1.802110864604411,91.53397582396835
USCGH1734819,Lava Lamp,12635.6842,1052.9736833333334,370.6092782825056,0.3519644262231615,1.5634435364989774,93.09741936046733
USCGH1734817,Neon Baby,7437.119800000001,619.7599833333335,205.6272836358357,0.33178535104813395,0.9202126847613499,94.01763204522868
GBKPL1806791,Mi Infinita,7041.3329,586.7777416666667,191.55190151151987,0.32644711601950227,0.8712410215857247,94.8888730668144
USCGH1734818,Stay for a Bit,6236.611,519.7175833333333,170.7347075378153,0.32851439515047254,0.7716708492610495,95.66054391607545
USHM21643451,Mindwinder,5440.729600000001,453.3941333333334,153.0197110355355,0.33749821575886174,0.6731945332219262,96.33373844929739
USCGH1734821,Lost / Heart,5337.761799999999,444.8134833333333,146.60232694240835,0.3295815716821422,0.6604540801661651,96.99419252946355
USHM21643452,Lonelylife,4058.2802999999994,338.19002499999993,108.30178757091957,0.3202394499096169,0.5021407629304419,97.49633329239398
USHM21643453,1Night,4016.3860999999997,334.6988416666666,110.42897853587706,0.3299353472094042,0.4969570930024775,97.99329038539646
GBKPL1802530,CR-V,3484.4467,290.37055833333335,92.17618912560344,0.3174433029804248,0.4311389541842294,98.4244293395807
GBKPL1897805,Sunnyside,3027.9970999999996,252.33309166666663,82.17537692310002,0.3256623076281019,0.37466134952412367,98.79909068910482
USCGH1734820,"Rest Easy, I'll See You Again",2833.5407,236.12839166666666,76.88943083172282,0.32562552215349294,0.35060079238303443,99.14969148148785
USHM21643450,When We Meet,2665.0190999999995,222.08492499999997,73.34306471355414,0.33024783070509695,0.3297492102992983,99.47944069178715
GBKPL1806794,Lucy,1699.6782,141.63985,48.82417703547924,0.34470650057507995,0.21030526355812346,99.68974595534527
GBKPL1820610,Amor de Siempre,1562.0028000000002,130.16690000000003,41.67193652857781,0.32014234439460265,0.193270355842963,99.88301631118824
USCGH1734822,I've Left My Body and I Don't Want to Come Back,945.4572,78.7881,26.128836123889844,0.33163429659923066,0.11698368881175591,100.0
USCGH1734814,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1802530,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1897805,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1816968,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1820610,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1806792,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1806791,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1806793,Unknown,0.0,0.0,0.0,,0.0,100.0
GBKPL1806794,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734822,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734821,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734819,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734820,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734816,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734815,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734817,Unknown,0.0,0.0,0.0,,0.0,100.0
USCGH1734818,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643449,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643448,Unknown,0.0,0.0,0.0,,0.0,100.0
USDY41758677,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643447,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643451,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643450,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643452,Unknown,0.0,0.0,0.0,,0.0,100.0
USHM21643453,Unknown,0.0,0.0,0.0,,0.0,100.0
