Month,ISRC,Track,Gross,Net,Units
2022-11,GBKPL1802530,CR-V,703.2538,527.4404,217574
2022-11,GBKPL1806791,Mi Infinita,646.2605,484.6954,259516
2022-11,GBKPL1806792,Dontmakemefallinlove,7417.0995,5562.8246,2250435
2022-11,GBKPL1806793,Summer Time High Time,5734.2127,4300.6595,1763908
2022-11,GBKPL1806794,Lucy,339.0141,254.2606,153966
2022-11,GBKPL1816968,Drown,3802.9484,2852.2113,1069292
2022-11,GBKPL1820610,Amor de Siempre,288.1765,216.1324,95173
2022-11,GBKPL1897805,Sunnyside,486.4811,364.8608,138437
2022-11,NO-ISRC,Unknown,50.2319,42.6971,9
2022-11,USCGH1734814,One and Only,2587.1353,2199.065,775638
2022-11,USCGH1734815,Winter's Ballad,1610.0066,1368.5056,530652
2022-11,USCGH1734816,We Had to End It,2111.8959,1795.1115,840288
2022-11,USCGH1734817,Neon Baby,845.5581,718.7244,261328
2022-11,USCGH1734818,Stay for a Bit,662.1366,562.8161,210065
2022-11,USCGH1734819,Lava Lamp,2011.8138,1710.0418,676073
2022-11,USCGH1734820,"Rest Easy, I'll See You Again",393.8953,334.811,105403
2022-11,USCGH1734821,Lost / Heart,886.7333,753.7233,288983
2022-11,USCGH1734822,I've Left My Body and I Don't Want to Come Back,127.8598,108.6808,37049
2022-11,USDY41758677,Lo Que Siento,29060.6338,24701.5387,11525903
2022-11,USHM21643447,Lover Is a Day,28899.3346,24564.4344,13220663
2022-11,USHM21643448,Cupid's Quiver,1623.0262,1379.5723,511674
2022-11,USHM21643449,Amor de Siempre,9779.0672,8312.2071,4889440
2022-11,USHM21643450,When We Meet,316.095,268.6807,85906
2022-11,USHM21643451,Mindwinder,616.7247,524.216,204313
2022-11,USHM21643452,Lonelylife,534.9941,454.745,161256
2022-11,USHM21643453,1Night,511.9948,435.1955,156373
2022-12,GBKPL1802530,CR-V,608.2739,562.6534,181569
2022-12,GBKPL1806791,Mi Infinita,608.4055,562.7751,229836
2022-12,GBKPL1806792,Dontmakemefallinlove,6667.0672,6167.0372,1912735
2022-12,GBKPL1806793,Summer Time High Time,4885.2935,4518.8965,1427769
2022-12,GBKPL1806794,Lucy,311.0842,287.7529,140299
2022-12,GBKPL1816968,Drown,3377.6608,3124.3362,926833
2022-12,GBKPL1820610,Amor de Siempre,293.3118,271.3134,95330
2022-12,GBKPL1897805,Sunnyside,445.919,412.4751,125407
2022-12,NO-ISRC,Unknown,32.2,27.37,5
2022-12,USCGH1734814,One and Only,2264.7104,1925.0038,685432
2022-12,USCGH1734815,Winter's Ballad,1455.5086,1237.1823,477551
2022-12,USCGH1734816,We Had to End It,1631.8706,1387.09,513433
2022-12,USCGH1734817,Neon Baby,716.8371,609.3116,198220
2022-12,USCGH1734818,Stay for a Bit,601.4556,511.2372,157968
2022-12,USCGH1734819,Lava Lamp,1569.918,1334.4303,438851
2022-12,USCGH1734820,"Rest Easy, I'll See You Again",319.5001,271.5751,80274
2022-12,USCGH1734821,Lost / Heart,817.0985,694.5337,237764
2022-12,USCGH1734822,I've Left My Body and I Don't Want to Come Back,108.614,92.3219,28389
2022-12,USDY41758677,Lo Que Siento,26534.2644,22554.1247,9927328
2022-12,USHM21643447,Lover Is a Day,26762.8684,22748.4381,11154411
2022-12,USHM21643448,Cupid's Quiver,1516.4891,1289.0157,451126
2022-12,USHM21643449,Amor de Siempre,8642.7785,7346.3618,3781662
2022-12,USHM21643450,When We Meet,280.6038,238.5133,76949
2022-12,USHM21643451,Mindwinder,594.6402,505.4442,182849
2022-12,USHM21643452,Lonelylife,495.5424,421.211,145961
2022-12,USHM21643453,1Night,476.9371,405.3966,140423
2022-12,gbkpl1806792,Unknown,0.0217,0.0201,18
2022-12,gbkpl1806793,Unknown,0.0059,0.0055,5
2022-12,gbkpl1816968,Unknown,0.0045,0.0041,4
2022-12,uscgh1734816,Unknown,0.0038,0.0032,3
2022-12,uscgh1734821,Unknown,0.0013,0.0011,1
2022-12,usdy41758677,Unknown,1.5069,1.2809,1272
2022-12,ushm21643447,Unknown,0.016,0.0136,14
2022-12,ushm21643450,Unknown,0.0013,0.0011,1
2023-01,GBKPL1802530,CR-V,636.6246,588.8777,184176
2023-01,GBKPL1806791,Mi Infinita,642.3981,594.2183,242323
2023-01,GBKPL1806792,Dontmakemefallinlove,6876.5706,6360.8278,1972973
2023-01,GBKPL1806793,Summer Time High Time,4985.4316,4611.5242,1457782
2023-01,GBKPL1806794,Lucy,264.3595,244.5325,92854
2023-01,GBKPL1816968,Drown,3622.95,3351.2287,952530
2023-01,GBKPL1820610,Amor de Siempre,276.7555,255.9988,93090
2023-01,GBKPL1897805,Sunnyside,476.2444,440.5261,130281
2023-01,NO-ISRC,Unknown,47.2043,40.1237,8
2023-01,USCGH1734814,One and Only,2325.7793,1976.9124,594114
2023-01,USCGH1734815,Winter's Ballad,1557.1319,1323.5621,486327
2023-01,USCGH1734816,We Had to End It,1597.8365,1358.161,516869
2023-01,USCGH1734817,Neon Baby,784.1577,666.534,218881
2023-01,USCGH1734818,Stay for a Bit,588.3436,500.0921,157315
2023-01,USCGH1734819,Lava Lamp,1628.4192,1384.1563,459604
2023-01,USCGH1734820,"Rest Easy, I'll See You Again",349.8907,297.4071,85532
2023-01,USCGH1734821,Lost / Heart,838.0892,712.3758,243472
2023-01,USCGH1734822,I've Left My Body and I Don't Want to Come Back,118.5866,100.7986,30416
2023-01,USDY41758677,Lo Que Siento,26531.0987,22551.4339,9897497
2023-01,USHM21643447,Lover Is a Day,28434.4787,24169.3069,12390572
2023-01,USHM21643448,Cupid's Quiver,1664.5573,1414.8737,500677
2023-01,USHM21643449,Amor de Siempre,9350.4653,7947.8955,4229241
2023-01,USHM21643450,When We Meet,315.1194,267.8515,84634
2023-01,USHM21643451,Mindwinder,665.2506,565.463,204680
2023-01,USHM21643452,Lonelylife,537.0307,456.4761,158829
2023-01,USHM21643453,1Night,519.1729,441.297,153525
2023-02,GBKPL1802530,CR-V,627.5487,580.4826,291350
2023-02,GBKPL1806791,Mi Infinita,692.6722,640.7217,2107734
2023-02,GBKPL1806792,Dontmakemefallinlove,6746.561,6240.5689,4547290
2023-02,GBKPL1806793,Summer Time High Time,4888.4485,4521.8149,2329349
2023-02,GBKPL1806794,Lucy,236.4581,218.7237,64501
2023-02,GBKPL1816968,Drown,3676.7984,3401.0385,1154032
2023-02,GBKPL1820610,Amor de Siempre,291.56,269.693,165733
2023-02,GBKPL1897805,Sunnyside,496.8402,459.5771,164037
2023-02,NO-ISRC,Unknown,30.79,26.1715,5
2023-02,USCGH1734814,One and Only,2352.9402,1999.9992,837610
2023-02,USCGH1734815,Winter's Ballad,1655.7639,1407.3993,853934
2023-02,USCGH1734816,We Had to End It,1549.7351,1317.2748,1144583
2023-02,USCGH1734817,Neon Baby,814.9006,692.6655,298013
2023-02,USCGH1734818,Stay for a Bit,611.3974,519.6878,191939
2023-02,USCGH1734819,Lava Lamp,1624.3636,1380.7091,550626
2023-02,USCGH1734820,"Rest Easy, I'll See You Again",367.5122,312.3854,100151
2023-02,USCGH1734821,Lost / Heart,834.5161,709.3387,533244
2023-02,USCGH1734822,I've Left My Body and I Don't Want to Come Back,131.2574,111.5688,34926
2023-02,USDY41758677,Lo Que Siento,24774.311,21058.1643,67812167
2023-02,USHM21643447,Lover Is a Day,27551.6043,23418.8636,84938472
2023-02,USHM21643448,Cupid's Quiver,1725.0836,1466.3211,1479498
2023-02,USHM21643449,Amor de Siempre,9529.384,8099.9764,37473571
2023-02,USHM21643450,When We Meet,336.7645,286.2499,99234
2023-02,USHM21643451,Mindwinder,789.3342,670.9341,288458
2023-02,USHM21643452,Lonelylife,567.278,482.1863,182122
2023-02,USHM21643453,1Night,537.4286,456.8143,179421
2023-02,gbkpl1806792,Unknown,0.0184,0.017,15
2023-02,gbkpl1806793,Unknown,0.0098,0.0091,8
